Name,Main Web Page,Main Image,Second Image,Third Image,Fourth Image,Fifth Image,Sixth Image,Seventh Image,Eighth Image,Ninth Image,Tenth Image,Eleventh Image,Twelve Image,Thirteenth Image,Fourteenth Image,Fifteenth,Sixteenth,Seventeenth,Eighteenth,Price,Discounted Price,Sleeve
شلوار جین ساده,https://riskonline.ir/product/%d8%b4%d9%84%d9%88%d8%a7%d8%b1-%d8%ac%db%8c%d9%86-%d8%b3%d8%a7%d8%af%d9%87/,https://riskonline.ir/oakoocke/2021/04/14-15.jpg,https://riskonline.ir/oakoocke/2021/04/14-15.jpg,https://riskonline.ir/oakoocke/2021/04/kajra.jpg,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],1490000,1490000,[]
شلوار جین راسته,https://riskonline.ir/product/%d8%b4%d9%84%d9%88%d8%a7%d8%b1-%d8%ac%db%8c%d9%86-%d8%b1%d8%a7%d8%b3%d8%aa%d9%87/,https://riskonline.ir/oakoocke/2021/03/145.jpg,https://riskonline.ir/oakoocke/2021/03/145.jpg,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],1790000,1790000,[]
شلوار جین,https://riskonline.ir/product/%d8%b4%d9%84%d9%88%d8%a7%d8%b1-%d8%ac%db%8c%d9%86-2/,https://riskonline.ir/oakoocke/2021/02/33-14.jpg,https://riskonline.ir/oakoocke/2021/02/33-14.jpg,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],1950000,1950000,[]
شلوار کتان پارچه,https://riskonline.ir/product/%d8%b4%d9%84%d9%88%d8%a7%d8%b1-%da%a9%d8%aa%d8%a7%d9%86-%d9%be%d8%a7%d8%b1%da%86%d9%87-4/,https://riskonline.ir/oakoocke/2021/01/7-5.jpg,https://riskonline.ir/oakoocke/2021/01/7-5.jpg,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],980000,980000,[]
شلوار کتان پارچه,https://riskonline.ir/product/%d8%b4%d9%84%d9%88%d8%a7%d8%b1-%da%a9%d8%aa%d8%a7%d9%86-%d9%be%d8%a7%d8%b1%da%86%d9%87-3/,https://riskonline.ir/oakoocke/2021/01/3-6.jpg,https://riskonline.ir/oakoocke/2021/01/3-6.jpg,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],980000,980000,[]
شلوار کتان پارچه,https://riskonline.ir/product/%d8%b4%d9%84%d9%88%d8%a7%d8%b1-%da%a9%d8%aa%d8%a7%d9%86-%d9%be%d8%a7%d8%b1%da%86%d9%87/,https://riskonline.ir/oakoocke/2021/01/1-14.jpg,https://riskonline.ir/oakoocke/2021/01/1-14.jpg,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],980000,980000,[]
شلوار چریک ۶ جیب,https://riskonline.ir/product/%d8%b4%d9%84%d9%88%d8%a7%d8%b1-%da%86%d8%b1%db%8c%da%a9-6-%d8%ac%db%8c%d8%a8-3/,https://riskonline.ir/oakoocke/2021/01/26-2.jpg,https://riskonline.ir/oakoocke/2021/01/26-2.jpg,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],690000,690000,[]
شلوار جین زاپ,https://riskonline.ir/product/%d8%b4%d9%84%d9%88%d8%a7%d8%b1-%d8%ac%db%8c%d9%86-%d8%b2%d8%a7%d9%be-3/,https://riskonline.ir/oakoocke/2020/12/50-1-2.jpg,https://riskonline.ir/oakoocke/2020/12/50-1-2.jpg,https://riskonline.ir/oakoocke/2020/12/50-2-1.jpg,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],1950000,1950000,[]
شلوار جین,https://riskonline.ir/product/%d8%b4%d9%84%d9%88%d8%a7%d8%b1-%d8%ac%db%8c%d9%86/,https://riskonline.ir/oakoocke/2020/12/16-.jpg,https://riskonline.ir/oakoocke/2020/12/16-.jpg,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],1590000,1590000,[]
