Name,Main Web Page,Main Image,Second Image,Third Image,Fourth Image,Fifth Image,Sixth Image,Seventh Image,Eighth Image,Ninth Image,Tenth Image,Price,Discounted Price,Sleeve,Collar
شلوار جین فیت مردانه Edris,https://www.shixon.com/products/p60117997/?sac=59,https://img.shixon.com/products/13980519003314-6d993b02-4d8f-4d73-825e-79ee7875fdef.jpg,https://img.shixon.com/products/13980519003314-89409fd7-a3e2-462f-a225-6cd689270c9a.jpg,https://img.shixon.com/products/13980519003314-a89b436f-7cf8-41cd-8a7e-b69e053623ab.jpg,https://img.shixon.com/products/13980519003314-930dd181-bbd1-4712-819d-51ab2e3d4b90.jpg,https://img.shixon.com/products/13980519003314-03970fac-2324-4d3f-a744-20091351c697.jpg,https://img.shixon.com/products/13980519003331-9db23097-f36d-4e18-b0c1-07cdd049a508.jpg,[],[],[],[],1850000,1850000,[],[]
شلوار پارچه ای کلاسیک  مردانه طرح 29 Edris,https://www.shixon.com/products/p60114340/?sac=59,https://img.shixon.com/products/13980511162929-96ab1b29-46ed-4f70-8782-6d223e1cbe78.jpg,https://img.shixon.com/products/13980231221318-ffe94135-e638-486a-aa80-8bea8ea76c81.jpg,https://img.shixon.com/products/13980231221318-0e9e7cd8-b07c-4746-94cd-bf3b6775587d.jpg,https://img.shixon.com/products/13980231221318-c253348c-12ad-49cc-b4a3-4251f2fe4ee7.jpg,[],[],[],[],[],[],1190000,1190000,[],[]
شلوار پارچه ای کلاسیک  مردانه طرح 30 Edris,https://www.shixon.com/products/p60114341/?sac=59,https://img.shixon.com/products/13980518202958-a849d618-c6e7-4581-bda7-c19e95f465ee.jpg,https://img.shixon.com/products/13980511161257-46d6843d-f6d4-4f2d-9a9b-b8fcfb1b19a3.jpg,https://img.shixon.com/products/13980518202959-5e2b7674-ae45-4a80-a3bd-2ebe6c67d439.jpg,https://img.shixon.com/products/13980518202959-b39326a1-dad1-4db4-98f7-d96a4d8faf08.jpg,[],[],[],[],[],[],1190000,1190000,[],[]
شلوار پارچه ای کلاسیک مردانه طرح 31 Edris,https://www.shixon.com/products/p60114342/?sac=59,https://img.shixon.com/products/13980511162444-a12e1a6a-f6cf-4376-b79d-9b4065ed3264.jpg,https://img.shixon.com/products/13980231224105-c49a88b0-b899-412a-8752-1941b68f4067.jpg,https://img.shixon.com/products/13980231224105-3dc3e69f-d482-454a-ba34-5bf1a9b5b8c6.jpg,https://img.shixon.com/products/13980231224105-e20bdc68-d10e-4542-ba25-6ac611dc0907.jpg,[],[],[],[],[],[],1190000,1190000,[],[]
شلوار پارچه ای کلاسیک  مردانه طرح 32 Edris,https://www.shixon.com/products/p60114345/?sac=59,https://img.shixon.com/products/13980511161617-d24af531-18f6-420d-9f98-fabdba33a427.jpg,https://img.shixon.com/products/13980231232114-476fb91d-e525-4d20-b430-ea3b99f45b80.jpg,https://img.shixon.com/products/13980231232114-9dd3d98e-2694-4be4-8d1c-68f823dc572c.jpg,https://img.shixon.com/products/13980231232114-be252a2d-d60d-4573-944d-edc6af509804.jpg,[],[],[],[],[],[],1190000,1190000,[],[]
شلوار جین فیت مردانه  Edris,https://www.shixon.com/products/p60113969/?sac=59,https://img.shixon.com/products/13980509002742-41ee980f-c324-4004-87b0-f9af70a7d02d.jpg,https://img.shixon.com/products/13980509002812-d55b5b06-4ad9-4b64-be63-dacd60dbd467.jpg,https://img.shixon.com/products/13980509002812-760c2ecb-6026-4723-b007-617d46d5e18e.jpg,https://img.shixon.com/products/13980509002812-6797abef-8a28-413e-a9eb-7dad098e63bf.jpg,https://img.shixon.com/products/13980509002812-0c35ceff-4cdc-4963-913e-df24c6112188.jpg,https://img.shixon.com/products/13980509002812-45236805-7941-4a5c-aeaa-bf8513dcc5e0.jpg,[],[],[],[],1850000,1850000,[],[]
شلوار جین فیت مردانه Edris,https://www.shixon.com/products/p60113981/?sac=59,https://img.shixon.com/products/13980509003154-c5104faf-989e-42f9-b7e3-0fe07c651766.jpg,https://img.shixon.com/products/13980509003220-4400378b-9e5e-4db6-97a3-fe36fd247495.jpg,https://img.shixon.com/products/13980509003220-8f03bb0c-7905-46b0-b0cf-9cf0bf4fc12c.jpg,https://img.shixon.com/products/13980509003220-e59a615b-9a28-45c1-953a-a90c74072c15.jpg,https://img.shixon.com/products/13980509003220-dea7dc85-2d9d-4f45-b0d6-a4b93bb3e5ad.jpg,https://img.shixon.com/products/13980509003220-b020a00a-6f4a-4a00-8911-2fb2b88078df.jpg,[],[],[],[],1850000,1850000,[],[]
شلوار پارچه ای کلاسیک مردانه طرح11 Edris,https://www.shixon.com/products/p60114000/?sac=59,https://img.shixon.com/products/13980530233757-1c1a2309-7978-4527-9a6f-112dd36de85c.jpg,https://img.shixon.com/products/13980522205714-16d06012-0fb0-47de-8332-d3891bb2a0a5.jpg,https://img.shixon.com/products/13980227190527-2a59a67e-76a0-4d77-b51c-ec3200adc7fb.jpg,https://img.shixon.com/products/13980227192704-5c00ca6d-b0e2-4a30-84f1-60f926d55dcf.jpg,[],[],[],[],[],[],1090000,1090000,[],[]
شلوار پارچه ای کلاسیک مردانه طرح12 Edris,https://www.shixon.com/products/p60114001/?sac=59,https://img.shixon.com/products/13980317224811-f6177121-7897-403d-8e1d-300561af6cf4.jpg,https://img.shixon.com/products/13980227200720-e2003f04-d917-46f8-b79a-e17722272d9a.jpg,https://img.shixon.com/products/13980227200741-09979109-709d-456c-b8d8-2e72fa8a1780.jpg,https://img.shixon.com/products/13980227200741-2af94e7c-7a57-4450-8994-f5637f197e4b.jpg,[],[],[],[],[],[],990000,990000,[],[]
شلوار جین فیت مردانه Edris,https://www.shixon.com/products/p60114019/?sac=59,https://img.shixon.com/products/13980508235424-e997217e-3d89-4cb9-87a4-cd4ff78293ab.jpg,https://img.shixon.com/products/13980508235424-f4a7c748-224e-4813-a371-e2a465150d3b.jpg,https://img.shixon.com/products/13980508235424-15f01fca-5add-4c56-9a82-77cdf6645821.jpg,https://img.shixon.com/products/13980508235424-361dbd06-2956-49ed-b813-1fe06d111133.jpg,https://img.shixon.com/products/13980508235424-78ee8838-62eb-4505-bc77-fabc602a8339.jpg,https://img.shixon.com/products/13980508235424-df6e365a-f006-450e-844a-979a20491829.jpg,https://img.shixon.com/products/13980508235424-d3d25141-ebe3-4d3e-84f4-f0a272772369.jpg,https://img.shixon.com/products/13980508235705-1aa6220e-ea43-48d4-868c-080fcbdba6d9.jpg,[],[],1850000,1850000,[],[]
شلوار جین فیت مردانه طرح 15 Edris,https://www.shixon.com/products/p60114027/?sac=59,https://img.shixon.com/products/13980509000031-833250a1-5d89-44da-9cb6-c519401aa2d6.jpg,https://img.shixon.com/products/13980509000053-07dec09b-ba67-4eff-87ac-a49fb9644de7.jpg,https://img.shixon.com/products/13980509000053-e3fa495d-b309-445e-880f-ee283d055232.jpg,https://img.shixon.com/products/13980509000053-ce7b0733-8828-44c1-9782-8bd7a8cd3825.jpg,https://img.shixon.com/products/13980509000053-ee293e4f-9e6a-4f4b-9de4-7eabf633a52f.jpg,https://img.shixon.com/products/13980509000053-e43ab044-74a0-4b83-8092-7f67e91df461.jpg,https://img.shixon.com/products/13980509000053-75fa69eb-baaa-4205-8fd6-96a0cf385ebb.jpg,[],[],[],1850000,1850000,[],[]
شلوار پارچه ای راسته مردانه طرح17 Edris,https://www.shixon.com/products/p60114031/?sac=59,https://img.shixon.com/products/13980509234123-b8e2f979-a685-4786-bc49-51ac633da6a8.jpg,https://img.shixon.com/products/13980227225232-8febd682-8596-4c29-9e51-b8f6bd59077f.jpg,https://img.shixon.com/products/13980227225232-96a04b2c-4810-4ccf-83f8-112847f14072.jpg,https://img.shixon.com/products/13980227225232-d30c8f35-3ac0-49cf-bb2c-0354dff8aa45.jpg,[],[],[],[],[],[],990000,990000,[],[]
شلوار پارچه ای کلاسیک مردانه طرح18 Edris,https://www.shixon.com/products/p60114115/?sac=59,https://img.shixon.com/products/13980317224455-f4a30f80-e4b0-44a5-9c21-ff0ec33e16f2.jpg,https://img.shixon.com/products/13980228224003-f363d7e4-ebbf-4e62-afb2-65a678486027.jpg,https://img.shixon.com/products/13980228224003-1c117a3d-63a2-4a51-b17c-898add45200a.jpg,https://img.shixon.com/products/13980228224003-7daf3f43-0536-4b85-ba09-e9e5996e670d.jpg,[],[],[],[],[],[],890000,890000,[],[]
شلوار کتان مردانه,https://www.shixon.com/products/p60113613/?sac=59,https://img.shixon.com/products/13980217091559-39625682-db75-40c6-babb-5c7daea5621c.jpg,https://img.shixon.com/products/13980217091559-0d9af3e4-df3d-47d4-bb26-32a778180f14.jpg,https://img.shixon.com/products/13980217091559-5b7be5eb-a06a-45d6-addb-34bb38b724d2.jpg,https://img.shixon.com/products/13980217091559-1e8ec55a-f33b-4d8b-9cc1-83d2df41a90f.jpg,[],[],[],[],[],[],2000000,1299000,[],[]
شلوار کتان مردانه,https://www.shixon.com/products/p60113614/?sac=59,https://img.shixon.com/products/13980217091559-d2c30d18-f445-4915-a903-56479732ee7a.jpg,https://img.shixon.com/products/13980217091559-14a9e2fc-3513-4dfb-a0ac-5a312b0c9250.jpg,https://img.shixon.com/products/13980217091559-21f9e2e6-2c69-46f8-8e66-74571f80867c.jpg,https://img.shixon.com/products/13980217091559-3b67b243-4528-47bb-b83d-50c20cd34e5c.jpg,[],[],[],[],[],[],2000000,1299000,[],[]
شلوارک مردانه طرح tommy برمودا  پنبه ای,https://www.shixon.com/products/p60102545/?sac=59,https://img.shixon.com/products/13970610102157-f2d1f5de-1f1c-41ef-8bb9-39b598e73b43.jpg,https://img.shixon.com/products/13970610102157-03a54843-d870-45ee-9912-8b3964358871.jpg,https://img.shixon.com/products/13970610102157-65c3ca3e-1d06-4454-bbcf-20eec01ad6c2.jpg,[],[],[],[],[],[],[],990000,990000,[],[]
شلوار مردانه کتان کلاسیک نخی,https://www.shixon.com/products/p60093771/?sac=59,https://img.shixon.com/products/13961202091222-e7ce7a2e-2c6d-48ba-8ccf-96fe7bde6a5d.jpg,https://img.shixon.com/products/13961202091222-633b4eb8-eb66-4ba1-b529-c58ce6e3a35c.jpg,https://img.shixon.com/products/13961202091222-145d2d6c-b650-4ba6-b7f4-fd2388dca940.jpg,https://img.shixon.com/products/13961202091222-00087047-727d-4922-a59d-f197e96c00ad.jpg,https://img.shixon.com/products/13961202091222-af5fcc2b-8f16-4742-b1d3-32ecdae44cd2.jpg,[],[],[],[],[],1500000,999000,[],[]
شلوار پارچه ای فاستونی مرینوس,https://www.shixon.com/products/p60075391/?sac=59,https://img.shixon.com/products/13960131094537-24c53a0f-278a-4f25-af6b-2a929105ea85.jpg,https://img.shixon.com/products/13960131094537-4adaa888-9e52-4c89-b10e-bdd4a48d4392.jpg,https://img.shixon.com/products/13960131094537-fd9d4f89-45bd-4f58-b7a5-502f0013be32.jpg,https://img.shixon.com/products/13960131094537-a3e156d3-5613-4248-9dc6-f533b3c47a14.jpg,https://img.shixon.com/products/13960131094537-a4ca9ac5-f3f8-4840-b471-73c7064b3ceb.jpg,https://img.shixon.com/products/13960131094537-7079f2a7-833d-450a-b904-2198b7806765.jpg,[],[],[],[],1100000,1100000,[],[]
