Name,Main Web Page,Main Image,Second Image,Third Image,Fourth Image,Fifth Image,Sixth Image,Seventh Image,Eighth Image,Ninth Image,Tenth Image,Price,Value of Discount,Collar,Sleeve
4170667-شلوار-مردانه-کوتون-مدل-8yam41932nw-c24?size_id=2636,https://www.digistyle.com/product/4170667-شلوار-مردانه-کوتون-مدل-8yam41932nw-c24?size_id=2636,https://dkstatics-public.digikala.com/digikala-products/fddb1e234e11f0df2814deb3284102257263eaea_1610449976.jpg,https://dkstatics-public.digikala.com/digikala-products/6c9326d80c5c431040257e311769da903307565d_1610449978.jpg,https://dkstatics-public.digikala.com/digikala-products/6a57be731e27e41c5861d68ffdc1ed4b1305b17c_1610449978.jpg,https://dkstatics-public.digikala.com/digikala-products/35e40d2d336e0981f4a5839cce9aaa90a85ee47b_1610449979.jpg,https://dkstatics-public.digikala.com/digikala-products/511a4b94ccc4f91c2a21269553dc3543ba4770d0_1610449981.jpg,https://dkstatics-public.digikala.com/digikala-products/4eb2208e79be049727e4683732b2e8213a581465_1610450001.jpg,[],[],[],[],5900000,3540000,[],[]
4170667-شلوار-مردانه-کوتون-مدل-8yam41932nw-c24,https://www.digistyle.com/product/4170667-شلوار-مردانه-کوتون-مدل-8yam41932nw-c24,https://dkstatics-public.digikala.com/digikala-products/fddb1e234e11f0df2814deb3284102257263eaea_1610449976.jpg,https://dkstatics-public.digikala.com/digikala-products/6c9326d80c5c431040257e311769da903307565d_1610449978.jpg,https://dkstatics-public.digikala.com/digikala-products/6a57be731e27e41c5861d68ffdc1ed4b1305b17c_1610449978.jpg,https://dkstatics-public.digikala.com/digikala-products/35e40d2d336e0981f4a5839cce9aaa90a85ee47b_1610449979.jpg,https://dkstatics-public.digikala.com/digikala-products/511a4b94ccc4f91c2a21269553dc3543ba4770d0_1610449981.jpg,https://dkstatics-public.digikala.com/digikala-products/4eb2208e79be049727e4683732b2e8213a581465_1610450001.jpg,[],[],[],[],5900000,3540000,[],[]
4194392-شلوار-مردانه-ال-سی-وایکیکی-مدل-5kb181z8-e1j,https://www.digistyle.com/product/4194392-شلوار-مردانه-ال-سی-وایکیکی-مدل-5kb181z8-e1j,https://dkstatics-public.digikala.com/digikala-products/20b8d9c29962225ec081f6249776271dd41b26c8_1610439985.jpg,https://dkstatics-public.digikala.com/digikala-products/60cce52c59c5740b4b008b128dff8adfc6b99c2c_1610439983.jpg,https://dkstatics-public.digikala.com/digikala-products/dc7037e649ae2737cf307a9295cb67836bb81907_1610439987.jpg,https://dkstatics-public.digikala.com/digikala-products/38a849ccc69f2419e41fc296e9b271f9a3d812ae_1610439989.jpg,https://dkstatics-public.digikala.com/digikala-products/2e5dd58242405d16a5a7c21dea0fdaa642ed7b84_1610439980.jpg,[],[],[],[],[],7690000,4610000,[],[]
4194392-شلوار-مردانه-ال-سی-وایکیکی-مدل-5kb181z8-e1j?size_id=1,https://www.digistyle.com/product/4194392-شلوار-مردانه-ال-سی-وایکیکی-مدل-5kb181z8-e1j?size_id=1,https://dkstatics-public.digikala.com/digikala-products/20b8d9c29962225ec081f6249776271dd41b26c8_1610439985.jpg,https://dkstatics-public.digikala.com/digikala-products/60cce52c59c5740b4b008b128dff8adfc6b99c2c_1610439983.jpg,https://dkstatics-public.digikala.com/digikala-products/dc7037e649ae2737cf307a9295cb67836bb81907_1610439987.jpg,https://dkstatics-public.digikala.com/digikala-products/38a849ccc69f2419e41fc296e9b271f9a3d812ae_1610439989.jpg,https://dkstatics-public.digikala.com/digikala-products/2e5dd58242405d16a5a7c21dea0fdaa642ed7b84_1610439980.jpg,[],[],[],[],[],7690000,4610000,[],[]
4194392-شلوار-مردانه-ال-سی-وایکیکی-مدل-5kb181z8-e1j?size_id=2582,https://www.digistyle.com/product/4194392-شلوار-مردانه-ال-سی-وایکیکی-مدل-5kb181z8-e1j?size_id=2582,https://dkstatics-public.digikala.com/digikala-products/20b8d9c29962225ec081f6249776271dd41b26c8_1610439985.jpg,https://dkstatics-public.digikala.com/digikala-products/60cce52c59c5740b4b008b128dff8adfc6b99c2c_1610439983.jpg,https://dkstatics-public.digikala.com/digikala-products/dc7037e649ae2737cf307a9295cb67836bb81907_1610439987.jpg,https://dkstatics-public.digikala.com/digikala-products/38a849ccc69f2419e41fc296e9b271f9a3d812ae_1610439989.jpg,https://dkstatics-public.digikala.com/digikala-products/2e5dd58242405d16a5a7c21dea0fdaa642ed7b84_1610439980.jpg,[],[],[],[],[],7690000,4610000,[],[]
4194392-شلوار-مردانه-ال-سی-وایکیکی-مدل-5kb181z8-e1j,https://www.digistyle.com/product/4194392-شلوار-مردانه-ال-سی-وایکیکی-مدل-5kb181z8-e1j,https://dkstatics-public.digikala.com/digikala-products/20b8d9c29962225ec081f6249776271dd41b26c8_1610439985.jpg,https://dkstatics-public.digikala.com/digikala-products/60cce52c59c5740b4b008b128dff8adfc6b99c2c_1610439983.jpg,https://dkstatics-public.digikala.com/digikala-products/dc7037e649ae2737cf307a9295cb67836bb81907_1610439987.jpg,https://dkstatics-public.digikala.com/digikala-products/38a849ccc69f2419e41fc296e9b271f9a3d812ae_1610439989.jpg,https://dkstatics-public.digikala.com/digikala-products/2e5dd58242405d16a5a7c21dea0fdaa642ed7b84_1610439980.jpg,[],[],[],[],[],7690000,4610000,[],[]
2333693-شلوار-مردانه-دیان-کد-414-رنگ-مشکی,https://www.digistyle.com/product/2333693-شلوار-مردانه-دیان-کد-414-رنگ-مشکی,https://dkstatics-public.digikala.com/digikala-products/115161526.jpg,https://dkstatics-public.digikala.com/digikala-products/115161541.jpg,https://dkstatics-public.digikala.com/digikala-products/115161539.jpg,https://dkstatics-public.digikala.com/digikala-products/115632682.jpg,[],[],[],[],[],[],1780000,330000,[],[]
2333693-شلوار-مردانه-دیان-کد-414-رنگ-مشکی?size_id=2584,https://www.digistyle.com/product/2333693-شلوار-مردانه-دیان-کد-414-رنگ-مشکی?size_id=2584,https://dkstatics-public.digikala.com/digikala-products/115161526.jpg,https://dkstatics-public.digikala.com/digikala-products/115161541.jpg,https://dkstatics-public.digikala.com/digikala-products/115161539.jpg,https://dkstatics-public.digikala.com/digikala-products/115632682.jpg,[],[],[],[],[],[],1780000,330000,[],[]
2333693-شلوار-مردانه-دیان-کد-414-رنگ-مشکی?size_id=2585,https://www.digistyle.com/product/2333693-شلوار-مردانه-دیان-کد-414-رنگ-مشکی?size_id=2585,https://dkstatics-public.digikala.com/digikala-products/115161526.jpg,https://dkstatics-public.digikala.com/digikala-products/115161541.jpg,https://dkstatics-public.digikala.com/digikala-products/115161539.jpg,https://dkstatics-public.digikala.com/digikala-products/115632682.jpg,[],[],[],[],[],[],1780000,330000,[],[]
2333693-شلوار-مردانه-دیان-کد-414-رنگ-مشکی?size_id=408,https://www.digistyle.com/product/2333693-شلوار-مردانه-دیان-کد-414-رنگ-مشکی?size_id=408,https://dkstatics-public.digikala.com/digikala-products/115161526.jpg,https://dkstatics-public.digikala.com/digikala-products/115161541.jpg,https://dkstatics-public.digikala.com/digikala-products/115161539.jpg,https://dkstatics-public.digikala.com/digikala-products/115632682.jpg,[],[],[],[],[],[],1780000,330000,[],[]
