Name,Main Web Page,Main Image,Second Image,Third Image,Fourth Image,Fifth Image,Sixth Image,Seventh Image,Eighth Image,Ninth Image,Tenth Image,Price,Value of Discount,Collar,Sleeve
4170293-پیراهن-آستین-بلند-مردانه-کوتون-مدل-8yam69282vw-740,https://www.digistyle.com/product/4170293-پیراهن-آستین-بلند-مردانه-کوتون-مدل-8yam69282vw-740,https://dkstatics-public.digikala.com/digikala-products/1aa3416bdc63e934257bb55c7b67b4e96a483887_1610353919.jpg,https://dkstatics-public.digikala.com/digikala-products/d8a6c8f02939af509ba5ccfe9c48566afc37b164_1610353920.jpg,https://dkstatics-public.digikala.com/digikala-products/2e551f0cf731b9e522d87a62b12a899a78d40d97_1610353920.jpg,https://dkstatics-public.digikala.com/digikala-products/2311b1464ff82532efb5a1100a054000d01574f0_1610353921.jpg,https://dkstatics-public.digikala.com/digikala-products/706044baa0773b97c59f4ef50e023c390523bc96_1610353922.jpg,https://dkstatics-public.digikala.com/digikala-products/8f6c63bf013232b7d5802c262108941ed3f1bbfd_1610353923.jpg,[],[],[],[],5900000,[],برگردان,بلند
4170293-پیراهن-آستین-بلند-مردانه-کوتون-مدل-8yam69282vw-740?size_id=64,https://www.digistyle.com/product/4170293-پیراهن-آستین-بلند-مردانه-کوتون-مدل-8yam69282vw-740?size_id=64,https://dkstatics-public.digikala.com/digikala-products/1aa3416bdc63e934257bb55c7b67b4e96a483887_1610353919.jpg,https://dkstatics-public.digikala.com/digikala-products/d8a6c8f02939af509ba5ccfe9c48566afc37b164_1610353920.jpg,https://dkstatics-public.digikala.com/digikala-products/2e551f0cf731b9e522d87a62b12a899a78d40d97_1610353920.jpg,https://dkstatics-public.digikala.com/digikala-products/2311b1464ff82532efb5a1100a054000d01574f0_1610353921.jpg,https://dkstatics-public.digikala.com/digikala-products/706044baa0773b97c59f4ef50e023c390523bc96_1610353922.jpg,https://dkstatics-public.digikala.com/digikala-products/8f6c63bf013232b7d5802c262108941ed3f1bbfd_1610353923.jpg,[],[],[],[],5900000,[],برگردان,بلند
4170293-پیراهن-آستین-بلند-مردانه-کوتون-مدل-8yam69282vw-740?size_id=65,https://www.digistyle.com/product/4170293-پیراهن-آستین-بلند-مردانه-کوتون-مدل-8yam69282vw-740?size_id=65,https://dkstatics-public.digikala.com/digikala-products/1aa3416bdc63e934257bb55c7b67b4e96a483887_1610353919.jpg,https://dkstatics-public.digikala.com/digikala-products/d8a6c8f02939af509ba5ccfe9c48566afc37b164_1610353920.jpg,https://dkstatics-public.digikala.com/digikala-products/2e551f0cf731b9e522d87a62b12a899a78d40d97_1610353920.jpg,https://dkstatics-public.digikala.com/digikala-products/2311b1464ff82532efb5a1100a054000d01574f0_1610353921.jpg,https://dkstatics-public.digikala.com/digikala-products/706044baa0773b97c59f4ef50e023c390523bc96_1610353922.jpg,https://dkstatics-public.digikala.com/digikala-products/8f6c63bf013232b7d5802c262108941ed3f1bbfd_1610353923.jpg,[],[],[],[],5900000,[],برگردان,بلند
4170293-پیراهن-آستین-بلند-مردانه-کوتون-مدل-8yam69282vw-740,https://www.digistyle.com/product/4170293-پیراهن-آستین-بلند-مردانه-کوتون-مدل-8yam69282vw-740,https://dkstatics-public.digikala.com/digikala-products/1aa3416bdc63e934257bb55c7b67b4e96a483887_1610353919.jpg,https://dkstatics-public.digikala.com/digikala-products/d8a6c8f02939af509ba5ccfe9c48566afc37b164_1610353920.jpg,https://dkstatics-public.digikala.com/digikala-products/2e551f0cf731b9e522d87a62b12a899a78d40d97_1610353920.jpg,https://dkstatics-public.digikala.com/digikala-products/2311b1464ff82532efb5a1100a054000d01574f0_1610353921.jpg,https://dkstatics-public.digikala.com/digikala-products/706044baa0773b97c59f4ef50e023c390523bc96_1610353922.jpg,https://dkstatics-public.digikala.com/digikala-products/8f6c63bf013232b7d5802c262108941ed3f1bbfd_1610353923.jpg,[],[],[],[],5900000,[],برگردان,بلند
3349426-پیراهن-مردانه-مدل-li10016,https://www.digistyle.com/product/3349426-پیراهن-مردانه-مدل-li10016,https://dkstatics-public.digikala.com/digikala-products/95cba7b406e8bee498ab5c36d418794d86a714ba_1599378843.jpg,https://dkstatics-public.digikala.com/digikala-products/78d99451ef6ec6490612fa29d18c866ec26ac4b3_1599378849.jpg,https://dkstatics-public.digikala.com/digikala-products/4968caae9bfb7ffeceff2b2f9d18b4640bd73483_1599378847.jpg,https://dkstatics-public.digikala.com/digikala-products/595cb6089caac87e38dae53729579e2b53dcdaf1_1599378850.jpg,[],[],[],[],[],[],1400000,315000,برگردان,بلند
3349426-پیراهن-مردانه-مدل-li10016?size_id=67,https://www.digistyle.com/product/3349426-پیراهن-مردانه-مدل-li10016?size_id=67,https://dkstatics-public.digikala.com/digikala-products/95cba7b406e8bee498ab5c36d418794d86a714ba_1599378843.jpg,https://dkstatics-public.digikala.com/digikala-products/78d99451ef6ec6490612fa29d18c866ec26ac4b3_1599378849.jpg,https://dkstatics-public.digikala.com/digikala-products/4968caae9bfb7ffeceff2b2f9d18b4640bd73483_1599378847.jpg,https://dkstatics-public.digikala.com/digikala-products/595cb6089caac87e38dae53729579e2b53dcdaf1_1599378850.jpg,[],[],[],[],[],[],1400000,315000,برگردان,بلند
3349426-پیراهن-مردانه-مدل-li10016?size_id=68,https://www.digistyle.com/product/3349426-پیراهن-مردانه-مدل-li10016?size_id=68,https://dkstatics-public.digikala.com/digikala-products/95cba7b406e8bee498ab5c36d418794d86a714ba_1599378843.jpg,https://dkstatics-public.digikala.com/digikala-products/78d99451ef6ec6490612fa29d18c866ec26ac4b3_1599378849.jpg,https://dkstatics-public.digikala.com/digikala-products/4968caae9bfb7ffeceff2b2f9d18b4640bd73483_1599378847.jpg,https://dkstatics-public.digikala.com/digikala-products/595cb6089caac87e38dae53729579e2b53dcdaf1_1599378850.jpg,[],[],[],[],[],[],1400000,315000,برگردان,بلند
3349426-پیراهن-مردانه-مدل-li10016?size_id=720,https://www.digistyle.com/product/3349426-پیراهن-مردانه-مدل-li10016?size_id=720,https://dkstatics-public.digikala.com/digikala-products/95cba7b406e8bee498ab5c36d418794d86a714ba_1599378843.jpg,https://dkstatics-public.digikala.com/digikala-products/78d99451ef6ec6490612fa29d18c866ec26ac4b3_1599378849.jpg,https://dkstatics-public.digikala.com/digikala-products/4968caae9bfb7ffeceff2b2f9d18b4640bd73483_1599378847.jpg,https://dkstatics-public.digikala.com/digikala-products/595cb6089caac87e38dae53729579e2b53dcdaf1_1599378850.jpg,[],[],[],[],[],[],1400000,315000,برگردان,بلند
3349426-پیراهن-مردانه-مدل-li10016?size_id=32690,https://www.digistyle.com/product/3349426-پیراهن-مردانه-مدل-li10016?size_id=32690,https://dkstatics-public.digikala.com/digikala-products/95cba7b406e8bee498ab5c36d418794d86a714ba_1599378843.jpg,https://dkstatics-public.digikala.com/digikala-products/78d99451ef6ec6490612fa29d18c866ec26ac4b3_1599378849.jpg,https://dkstatics-public.digikala.com/digikala-products/4968caae9bfb7ffeceff2b2f9d18b4640bd73483_1599378847.jpg,https://dkstatics-public.digikala.com/digikala-products/595cb6089caac87e38dae53729579e2b53dcdaf1_1599378850.jpg,[],[],[],[],[],[],1400000,315000,برگردان,بلند
3349426-پیراهن-مردانه-مدل-li10016,https://www.digistyle.com/product/3349426-پیراهن-مردانه-مدل-li10016,https://dkstatics-public.digikala.com/digikala-products/95cba7b406e8bee498ab5c36d418794d86a714ba_1599378843.jpg,https://dkstatics-public.digikala.com/digikala-products/78d99451ef6ec6490612fa29d18c866ec26ac4b3_1599378849.jpg,https://dkstatics-public.digikala.com/digikala-products/4968caae9bfb7ffeceff2b2f9d18b4640bd73483_1599378847.jpg,https://dkstatics-public.digikala.com/digikala-products/595cb6089caac87e38dae53729579e2b53dcdaf1_1599378850.jpg,[],[],[],[],[],[],1400000,315000,برگردان,بلند
