Name,Main Web Page,Main Image,Second Image,Third Image,Fourth Image,Fifth Image,Sixth Image,Seventh Image,Eighth Image,Ninth Image,Tenth Image,Eleventh Image,Twelve Image,Price,Discounted Percent,Collar,Sleeve
/تیشرت-آستین-کوتاه-مردانه-کالینز-مدل-cl10255,https://www.digikala.com/product/dkp-4593084/تیشرت-آستین-کوتاه-مردانه-کالینز-مدل-cl1025568-red,https://dkstatics-public.digikala.com/digikala-products/4bdf0d9c0b10e5b2891171b53536abcfbd67e1b1_1615017105.jpg,https://dkstatics-public.digikala.com/digikala-products/b9a3f7b09fdfbe784d6ff7cb40348294ce5ac480_1615017115.jpg,https://dkstatics-public.digikala.com/digikala-products/06f0be9dda93e2bff20c7c524fdc0f42ec885ada_1615017116.jpg,https://dkstatics-public.digikala.com/digikala-products/5c19b342db994a8d24cee2abf3881c20b53ebcd2_1615017119.jpg,https://dkstatics-public.digikala.com/digikala-products/8f2f6ff637848d6ddadf49fd55a6a95b337e33a0_1615017122.jpg,[],[],[],[],[],[],[],4190000,40%,گرد,کوتاه
/تیشرت-مردانه-کالینز-مدل-142012100-,https://www.digikala.com/product/dkp-4593152/تیشرت-مردانه-کالینز-مدل-142012100-orange,https://dkstatics-public.digikala.com/digikala-products/aea0183d37d30ad8c7bfea0c6d0889a098c137a7_1615032441.jpg,https://dkstatics-public.digikala.com/digikala-products/493eaea92f36eca5a878e776c300147cb835c972_1615032442.jpg,https://dkstatics-public.digikala.com/digikala-products/a3182b1d195fff751258afe9d50fdd6273264ee8_1615032444.jpg,https://dkstatics-public.digikala.com/digikala-products/b870b4c0349c6619a59a6f9850f65437e691d6db_1615032446.jpg,https://dkstatics-public.digikala.com/digikala-products/97574d3aea820659038978a7f448d8177e50fff1_1615032446.jpg,[],[],[],[],[],[],[],2690000,40%,گرد,کوتاه
/تیشرت-آستین-کوتاه-مردانه-مدل-فورتنایت-ک,https://www.digikala.com/product/dkp-4556199/تیشرت-آستین-کوتاه-مردانه-مدل-فورتنایت-کد-2483,https://dkstatics-public.digikala.com/digikala-products/fd1372fb7a88c7480e00caa11f05184d46b1105f_1620367082.jpg,[],[],[],[],[],[],[],[],[],[],[],1870000,31%,گرد,کوتاه
/تیشرت-آستین-بلند-مردانه-پاتیلوک-طرح-got-کد-,https://www.digikala.com/product/dkp-2559802/تیشرت-آستین-بلند-مردانه-پاتیلوک-طرح-got-کد-330909,https://dkstatics-public.digikala.com/digikala-products/119798121.jpg,https://dkstatics-public.digikala.com/digikala-products/119798118.jpg,https://dkstatics-public.digikala.com/digikala-products/119798125.jpg,https://dkstatics-public.digikala.com/digikala-products/119798130.jpg,https://dkstatics-public.digikala.com/digikala-products/119798131.jpg,[],[],[],[],[],[],[],1390000,%,گرد,بلند
/تیشرت-آستین-کوتاه-مردانه-کد-k,https://www.digikala.com/product/dkp-2632839/تیشرت-آستین-کوتاه-مردانه-کد-kaaf001,https://dkstatics-public.digikala.com/digikala-products/120221057.jpg,https://dkstatics-public.digikala.com/digikala-products/120210025.jpg,[],[],[],[],[],[],[],[],[],[],950000,%,گرد,کوتاه
/تیشرت-آستین-بلند-مردانه,https://www.digikala.com/product/dkp-3734181/تیشرت-آستین-بلند-مردانه-کد-p5,https://dkstatics-public.digikala.com/digikala-products/d092fbe9499b2eb2600e6d366336fff4b6d108d1_1605081119.jpg,https://dkstatics-public.digikala.com/digikala-products/fe68d886162d0c7e14718b9605f7ccad4f569570_1605081128.jpg,https://dkstatics-public.digikala.com/digikala-products/5679c10e1aa19035409690bbd431758c83e505ae_1605081132.jpg,https://dkstatics-public.digikala.com/digikala-products/135e838878e17a8a2d50b425ea725401c784acc8_1605081136.jpg,[],[],[],[],[],[],[],[],2300000,%,گرد,بلند
/تیشرت-آستین-بلند-مردانه-سون-پون-مدل-2391,https://www.digikala.com/product/dkp-4468408/تیشرت-آستین-بلند-مردانه-سون-پون-مدل-2391155-59,https://dkstatics-public.digikala.com/digikala-products/993a1d9d6d0c45fa1b597f74c80b1b4639839b02_1613539460.jpg,https://dkstatics-public.digikala.com/digikala-products/a6574724c411f72bbfb331f0f2cfd85e025023e7_1613539462.jpg,https://dkstatics-public.digikala.com/digikala-products/560db2c24e15ce013a680ae0af3144e16b78f6d1_1613539463.jpg,https://dkstatics-public.digikala.com/digikala-products/b6e7240801b38fd85ebf0e3466a0f6e6af683193_1613539465.jpg,https://dkstatics-public.digikala.com/digikala-products/0f7edb04b2087ff20dfc2f050b89f5c2a14727e5_1613539467.jpg,https://dkstatics-public.digikala.com/digikala-products/d3e2205ed4c727cb5efac1f5f1285a9fe4b4c96e_1613981213.jpg,[],[],[],[],[],[],2190000,50%,گرد,بلند
/تیشرت-آستین-کوتاه-مردانه-کالینز-مدل-cl1033797-of,https://www.digikala.com/product/dkp-4593083/تیشرت-آستین-کوتاه-مردانه-کالینز-مدل-cl1033797-offwhite,https://dkstatics-public.digikala.com/digikala-products/162f5c58b45f6acad7e552857ec8d57d443e6e4f_1615038605.jpg,https://dkstatics-public.digikala.com/digikala-products/e56b5e2e3d8b8520000ec29ee50f4f0e0f6c6864_1615038607.jpg,https://dkstatics-public.digikala.com/digikala-products/9e01b94649f8ef2e06a3e6db1d50a62980b40065_1615038608.jpg,https://dkstatics-public.digikala.com/digikala-products/6449cbd10528a78048417e169ad9d3d65bd5bd4b_1615038609.jpg,https://dkstatics-public.digikala.com/digikala-products/8d8c1ecd18d3333fc3758da930721944452e343e_1615038612.jpg,[],[],[],[],[],[],[],3890000,40%,هفت,کوتاه
تیشرت-مردانه-طرح-police-مدل-b,https://www.digikala.com/product/dkp-833410/تیشرت-مردانه-طرح-police-مدل-bw13235,https://dkstatics-public.digikala.com/digikala-products/116808361.jpg,https://dkstatics-public.digikala.com/digikala-products/116808365.jpg,https://dkstatics-public.digikala.com/digikala-products/116808370.jpg,https://dkstatics-public.digikala.com/digikala-products/116808374.jpg,https://dkstatics-public.digikala.com/digikala-products/116808378.jpg,[],[],[],[],[],[],[],580000,%,گرد,کوتاه
/تیشرت-مردانه-طرح-ماین-کرافت-کد,https://www.digikala.com/product/dkp-3065653/تیشرت-مردانه-طرح-ماین-کرافت-کد-ms361,https://dkstatics-public.digikala.com/digikala-products/68782ac8033524aea2f061c41c1282e6f592d8b3_1594367284.jpg,https://dkstatics-public.digikala.com/digikala-products/c49c0d514a7ef530a743dd2c397755bf5de90eff_1594367245.jpg,[],[],[],[],[],[],[],[],[],[],560000,%,گرد,کوتاه
