Name,Main Web Page,Main Image,Second Image,Third Image,Fourth Image,Fifth Image,Sixth Image,Seventh Image,Eighth Image,Ninth Image,Tenth Image,Eleventh Image,Twelve Image,Price,Discounted Percent,Collar,Sleeve
/پیراهن-مردانه-امپریو-آرمانی-مدل-11cspl11b,https://www.digikala.com/product/dkp-4716332/پیراهن-مردانه-امپریو-آرمانی-مدل-11cspl11bc0-999,https://dkstatics-public.digikala.com/digikala-products/5a11d1e0df33525ef1f660a1dc9ca79ea68813fd_1615819882.jpg,https://dkstatics-public.digikala.com/digikala-products/844794593d19328c40359dfb2ed6cd8bfeed0514_1615819881.jpg,https://dkstatics-public.digikala.com/digikala-products/9d00fe89df6231253d09903240c9e26e0dd6af02_1615819884.jpg,[],[],[],[],[],[],[],[],[],84900000,30%,برگردان,بلند
/پیراهن-آستین-بلند-مردانه-پاتن-جامه-مدل-102721990,https://www.digikala.com/product/dkp-4741446/پیراهن-آستین-بلند-مردانه-پاتن-جامه-مدل-102721990123818,https://dkstatics-public.digikala.com/digikala-products/836f5c36fd034384ba6a434f42ff94513ecb13d4_1615978875.jpg,https://dkstatics-public.digikala.com/digikala-products/92bb8f4bc50693cac2d06bce2be7982bb5db433b_1615978903.jpg,https://dkstatics-public.digikala.com/digikala-products/45cc019f1f8859fa77b947ae71eb9c6e64bcea1e_1615978905.jpg,[],[],[],[],[],[],[],[],[],2950000,%,برگردان,بلند
/پیراهن-آستین-بلند-مردانه-کلمبیا-مدل-boulder-ridge-aj00,https://www.digikala.com/product/dkp-3354715/پیراهن-آستین-بلند-مردانه-کلمبیا-مدل-boulder-ridge-aj0017-411,https://dkstatics-public.digikala.com/digikala-products/5be82604e43ac88744f7b7648905d972b5ac1a1b_1599459925.jpg,https://dkstatics-public.digikala.com/digikala-products/5393e8ae835befa9c13b84a68494d970358c5636_1599459981.jpg,https://dkstatics-public.digikala.com/digikala-products/e71f7cd19c8305d11410d6e594f23918ded9a1bb_1599461412.jpg,[],[],[],[],[],[],[],[],[],17990000,%,برگردان,بلند
/پیراهن-آستین-کوتاه-مردانه-مدل-,https://www.digikala.com/product/dkp-3488289/پیراهن-آستین-کوتاه-مردانه-مدل-pgh021,https://dkstatics-public.digikala.com/digikala-products/ba42a85a2a611c9eb4c32dbe0d48a55c6886b1e1_1601630533.jpg,https://dkstatics-public.digikala.com/digikala-products/03a7ea3bc796ca7f169860ff334390d3262f6dfd_1601630531.jpg,https://dkstatics-public.digikala.com/digikala-products/b06891f17dd83646f8053b6b0efb977e35e96fd4_1601630534.jpg,[],[],[],[],[],[],[],[],[],5880000,%,برگردان,کوتاه
/پیراهن-آستین-بلند-مردانه-آتا-ترک-مد,https://www.digikala.com/product/dkp-4147987/پیراهن-آستین-بلند-مردانه-آتا-ترک-مدل-g003,https://dkstatics-public.digikala.com/digikala-products/28e5c677535c86a2f481d8ed9de51a4631f2da26_1609625836.jpg,https://dkstatics-public.digikala.com/digikala-products/b3515638ab34a8075b2f98ad66749637c88c8df6_1609625841.jpg,https://dkstatics-public.digikala.com/digikala-products/4b7991fedbcbf8b30f176f25c7ea799e6eeb57ab_1609625853.jpg,https://dkstatics-public.digikala.com/digikala-products/893b5e13e38a6a72b8de7388f1ef3100125fc90c_1609626242.jpg,[],[],[],[],[],[],[],[],880000,%,برگردان,بلند
/پیراهن-آستین-بلند-مردانه-کلمبیا-مدل-am12,https://www.digikala.com/product/dkp-4187959/پیراهن-آستین-بلند-مردانه-کلمبیا-مدل-am1239-809,https://dkstatics-public.digikala.com/digikala-products/aa0d14bb55bf8b18638cf99fdd8fdfed4307a947_1610051875.jpg,https://dkstatics-public.digikala.com/digikala-products/9bed6be31c5c786669f91c2a2de7bd1817aaa163_1610051880.jpg,[],[],[],[],[],[],[],[],[],[],17990000,28%,برگردان,بلند
/پیراهن-آستین-بلند-مردانه-مد,https://www.digikala.com/product/dkp-4394252/پیراهن-آستین-بلند-مردانه-مدل-k-29,https://dkstatics-public.digikala.com/digikala-products/d0dcddb1d520f381ddbb764517f95badd5bf9951_1612457776.jpg,https://dkstatics-public.digikala.com/digikala-products/5055d087b938c390f60e696cf745e5f816a95ce0_1612457796.jpg,https://dkstatics-public.digikala.com/digikala-products/c72572717b29338100eacecd619b65d6dce8a93a_1612457823.jpg,https://dkstatics-public.digikala.com/digikala-products/d96036762c621dc0c6866c369f12209ac9b551b1_1612457763.jpg,[],[],[],[],[],[],[],[],880000,%,برگردان,بلند
/پیراهن-مردانه-آر-ان-اس-مدل-12200,https://www.digikala.com/product/dkp-4991265/پیراهن-مردانه-آر-ان-اس-مدل-12200834-23,https://dkstatics-public.digikala.com/digikala-products/f034253cea30753032b79597aa122fab99cf7120_1619352658.jpg,https://dkstatics-public.digikala.com/digikala-products/ac7f5bc67a98ba58d53f882c243a9f888df2ec11_1619352663.jpg,https://dkstatics-public.digikala.com/digikala-products/df14564f2de8ff6a72096204484cf6dc95a29fbf_1619352665.jpg,https://dkstatics-public.digikala.com/digikala-products/71cc7c0adabc8dcfb60477f7cdcf5f849873cad6_1619352667.jpg,https://dkstatics-public.digikala.com/digikala-products/0232058b8de0b7c79e0dc67efcdf54f18c188869_1619352670.jpg,[],[],[],[],[],[],[],4490000,%,برگردان,بلند
/پیراهن-آستین-کوتاه-مردانه-بربری-مد,https://www.digikala.com/product/dkp-5038099/پیراهن-آستین-کوتاه-مردانه-بربری-مدل-ss08,https://dkstatics-public.digikala.com/digikala-products/92884e3bae14c4257f88d4d0e5f51eaa9b988f74_1620051063.jpg,https://dkstatics-public.digikala.com/digikala-products/b8d07709eb0bccf29a6c5c04a51251092e9ee8ea_1620051042.jpg,https://dkstatics-public.digikala.com/digikala-products/b9b78c611d9fbd10a241b67b8de2fa7c2e969fea_1620051073.jpg,https://dkstatics-public.digikala.com/digikala-products/dac0e1cc2a0dd0a1b00b1446910737cd95d7f970_1620051112.jpg,https://dkstatics-public.digikala.com/digikala-products/07a9711e3687244c8312191fb0072c2f6789c8e0_1620050948.jpg,[],[],[],[],[],[],[],2400000,%,برگردان,کوتاه
/پیراهن-مردانه-کد,https://www.digikala.com/product/dkp-1615538/پیراهن-مردانه-کد-66811,https://dkstatics-public.digikala.com/digikala-products/117397446.jpg,https://dkstatics-public.digikala.com/digikala-products/117397447.jpg,https://dkstatics-public.digikala.com/digikala-products/117397456.jpg,[],[],[],[],[],[],[],[],[],1020000,16%,برگردان,کوتاه
