Name,Main Web Page,Main Image,Second Image,Third Image,Fourth Image,Fifth Image,Sixth Image,Seventh Image,Eighth Image,Price,Value of Discount,Collar,Sleeve
dark blue,https://rosha.ir/oe-2122501-corum-mens-trouser.html,https://rosha.ir/media/catalog/product/cache/3/thumbnail/600x/17f82f742ffe127f42dca9de82fb58b1/o/e/oe_2122501.jpg,https://rosha.ir/media/catalog/product/cache/3/thumbnail/600x/17f82f742ffe127f42dca9de82fb58b1/o/e/oe_2122501.jpg,https://rosha.ir/media/catalog/product/cache/3/thumbnail/100x100/9df78eab33525d08d6e5fb8d27136e95/o/e/oe_2122501.jpg,[],[],[],[],[],11890000,11890000,[],[]
 شلوار کتان کروم مدل Regular Fit OE_2112702,https://rosha.ir/oe-2112702-corum-mens-trouser.html,https://rosha.ir/media/catalog/product/cache/3/thumbnail/600x/17f82f742ffe127f42dca9de82fb58b1/o/e/oe_2112702.jpg,https://rosha.ir/media/catalog/product/cache/3/thumbnail/600x/17f82f742ffe127f42dca9de82fb58b1/o/e/oe_2112702.jpg,https://rosha.ir/media/catalog/product/cache/3/thumbnail/100x100/9df78eab33525d08d6e5fb8d27136e95/o/e/oe_2112702.jpg,[],[],[],[],[],10890000,10890000,[],[]
شلوار کتان کروم مدل OE_2022703,https://rosha.ir/oe-2022703-corum-mens-trouser.html,https://rosha.ir/media/catalog/product/cache/3/thumbnail/600x/17f82f742ffe127f42dca9de82fb58b1/o/e/oe_2022703.jpg,https://rosha.ir/media/catalog/product/cache/3/thumbnail/600x/17f82f742ffe127f42dca9de82fb58b1/o/e/oe_2022703.jpg,https://rosha.ir/media/catalog/product/cache/3/thumbnail/100x100/9df78eab33525d08d6e5fb8d27136e95/o/e/oe_2022703.jpg,[],[],[],[],[],10890000,10890000,[],[]
Slim Fit شلوار جین کروم مدل OE_2022601,https://rosha.ir/oe-2022601-corum-mens-trouser.html,https://rosha.ir/media/catalog/product/cache/3/thumbnail/600x/17f82f742ffe127f42dca9de82fb58b1/o/e/oe_2022601.jpg,https://rosha.ir/media/catalog/product/cache/3/thumbnail/600x/17f82f742ffe127f42dca9de82fb58b1/o/e/oe_2022601.jpg,https://rosha.ir/media/catalog/product/cache/3/thumbnail/100x100/9df78eab33525d08d6e5fb8d27136e95/o/e/oe_2022601.jpg,[],[],[],[],[],9890000,9890000,[],[]
dark blue,https://rosha.ir/oe-2022701-corum-mens-trouser.html,https://rosha.ir/media/catalog/product/cache/3/thumbnail/600x/17f82f742ffe127f42dca9de82fb58b1/o/e/oe_2022701.jpg,https://rosha.ir/media/catalog/product/cache/3/thumbnail/600x/17f82f742ffe127f42dca9de82fb58b1/o/e/oe_2022701.jpg,https://rosha.ir/media/catalog/product/cache/3/thumbnail/100x100/9df78eab33525d08d6e5fb8d27136e95/o/e/oe_2022701.jpg,[],[],[],[],[],8690000,8690000,[],[]
شلوار مردانه سی ام مدل 1K_102032113,https://rosha.ir/1k-102032113-cm-womens-trouser.html,https://rosha.ir/media/catalog/product/cache/3/thumbnail/600x/17f82f742ffe127f42dca9de82fb58b1/1/k/1k_102032113.jpg,https://rosha.ir/media/catalog/product/cache/3/thumbnail/600x/17f82f742ffe127f42dca9de82fb58b1/1/k/1k_102032113.jpg,https://rosha.ir/media/catalog/product/cache/3/thumbnail/100x100/9df78eab33525d08d6e5fb8d27136e95/1/k/1k_102032113.jpg,[],[],[],[],[],7490000,7490000,[],[]
dark blue,https://rosha.ir/oe-2013001-corum-mens-short-casual.html,https://rosha.ir/media/catalog/product/cache/3/thumbnail/600x/17f82f742ffe127f42dca9de82fb58b1/o/e/oe_2013001.jpg,https://rosha.ir/media/catalog/product/cache/3/thumbnail/600x/17f82f742ffe127f42dca9de82fb58b1/o/e/oe_2013001.jpg,https://rosha.ir/media/catalog/product/cache/3/thumbnail/100x100/9df78eab33525d08d6e5fb8d27136e95/o/e/oe_2013001.jpg,[],[],[],[],[],5690000,5690000,[],[]
