Name,Main Web Page,Main Image,Second Image,Third Image,Fourth Image,Fifth Image,Sixth Image,Seventh Image,Eighth Image,Price,Value of Discount,Collar,Sleeve
پبراهن مردانه کامیچی سیما مدل CCCTLDABG,https://rosha.ir/cm-ccctldabg-camicissima-mens-formal-shirt.html,https://rosha.ir/media/catalog/product/cache/3/thumbnail/600x/17f82f742ffe127f42dca9de82fb58b1/c/m/cm_ccctldabg.jpg,https://rosha.ir/media/catalog/product/cache/3/thumbnail/600x/17f82f742ffe127f42dca9de82fb58b1/c/m/cm_ccctldabg.jpg,https://rosha.ir/media/catalog/product/cache/3/thumbnail/100x100/9df78eab33525d08d6e5fb8d27136e95/c/m/cm_ccctldabg.jpg,[],[],[],[],[],16350000,16350000,بلند,[]
پبراهن مردانه کامیچی سیما مدل PALERMO,https://rosha.ir/cm-palermo-camicissima-mens-formal-shirt.html,https://rosha.ir/media/catalog/product/cache/3/thumbnail/600x/17f82f742ffe127f42dca9de82fb58b1/c/m/cm_palermo.jpg,https://rosha.ir/media/catalog/product/cache/3/thumbnail/600x/17f82f742ffe127f42dca9de82fb58b1/c/m/cm_palermo.jpg,https://rosha.ir/media/catalog/product/cache/3/thumbnail/100x100/9df78eab33525d08d6e5fb8d27136e95/c/m/cm_palermo.jpg,[],[],[],[],[],14170000,14170000,بلند,[]
پبراهن مردانه کامیچی سیما مدل GENOVA,https://rosha.ir/cm-genova-camicissima-mens-formal-shirt.html,https://rosha.ir/media/catalog/product/cache/3/thumbnail/600x/17f82f742ffe127f42dca9de82fb58b1/c/m/cm_genova.jpg,https://rosha.ir/media/catalog/product/cache/3/thumbnail/600x/17f82f742ffe127f42dca9de82fb58b1/c/m/cm_genova.jpg,https://rosha.ir/media/catalog/product/cache/3/thumbnail/100x100/9df78eab33525d08d6e5fb8d27136e95/c/m/cm_genova.jpg,[],[],[],[],[],13080000,13080000,بلند,[]
پبراهن مردانه کامیچی سیما مدل PIACENZA,https://rosha.ir/cm-piacenza-camicissima-mens-formal-shirt.html,https://rosha.ir/media/catalog/product/cache/3/thumbnail/600x/17f82f742ffe127f42dca9de82fb58b1/c/m/cm_piacenza.jpg,https://rosha.ir/media/catalog/product/cache/3/thumbnail/600x/17f82f742ffe127f42dca9de82fb58b1/c/m/cm_piacenza.jpg,https://rosha.ir/media/catalog/product/cache/3/thumbnail/100x100/9df78eab33525d08d6e5fb8d27136e95/c/m/cm_piacenza.jpg,[],[],[],[],[],13080000,13080000,بلند,[]
پبراهن مردانه کامیچی سیما مدل TRENTO,https://rosha.ir/cm-trento-camicissima-mens-formal-shirt.html,https://rosha.ir/media/catalog/product/cache/3/thumbnail/600x/17f82f742ffe127f42dca9de82fb58b1/c/m/cm_trento.jpg,https://rosha.ir/media/catalog/product/cache/3/thumbnail/600x/17f82f742ffe127f42dca9de82fb58b1/c/m/cm_trento.jpg,https://rosha.ir/media/catalog/product/cache/3/thumbnail/100x100/9df78eab33525d08d6e5fb8d27136e95/c/m/cm_trento.jpg,[],[],[],[],[],13080000,13080000,بلند,[]
پبراهن مردانه کامیچی سیما مدل CASERTA,https://rosha.ir/cm-caserta-camicissima-mens-formal-shirt.html,https://rosha.ir/media/catalog/product/cache/3/thumbnail/600x/17f82f742ffe127f42dca9de82fb58b1/c/m/cm_caserta.jpg,https://rosha.ir/media/catalog/product/cache/3/thumbnail/600x/17f82f742ffe127f42dca9de82fb58b1/c/m/cm_caserta.jpg,https://rosha.ir/media/catalog/product/cache/3/thumbnail/100x100/9df78eab33525d08d6e5fb8d27136e95/c/m/cm_caserta.jpg,[],[],[],[],[],13080000,13080000,بلند,[]
پبراهن مردانه کامیچی سیما مدل CREMONA,https://rosha.ir/cm-cremona-camicissima-mens-formal-shirt.html,https://rosha.ir/media/catalog/product/cache/3/thumbnail/600x/17f82f742ffe127f42dca9de82fb58b1/c/m/cm_cremona.jpg,https://rosha.ir/media/catalog/product/cache/3/thumbnail/600x/17f82f742ffe127f42dca9de82fb58b1/c/m/cm_cremona.jpg,https://rosha.ir/media/catalog/product/cache/3/thumbnail/100x100/9df78eab33525d08d6e5fb8d27136e95/c/m/cm_cremona.jpg,[],[],[],[],[],13080000,13080000,بلند,[]
پبراهن مردانه کامیچی سیما مدل MILANO,https://rosha.ir/cm-milano-camicissima-mens-formal-shirt.html,https://rosha.ir/media/catalog/product/cache/3/thumbnail/600x/17f82f742ffe127f42dca9de82fb58b1/c/m/cm_milano.jpg,https://rosha.ir/media/catalog/product/cache/3/thumbnail/600x/17f82f742ffe127f42dca9de82fb58b1/c/m/cm_milano.jpg,https://rosha.ir/media/catalog/product/cache/3/thumbnail/100x100/9df78eab33525d08d6e5fb8d27136e95/c/m/cm_milano.jpg,[],[],[],[],[],13080000,13080000,بلند,[]
پبراهن مردانه کامیچی سیما مدل PERUGIA,https://rosha.ir/cm-perugia-camicissima-mens-formal-shirt.html,https://rosha.ir/media/catalog/product/cache/3/thumbnail/600x/17f82f742ffe127f42dca9de82fb58b1/c/m/cm_perugia.jpg,https://rosha.ir/media/catalog/product/cache/3/thumbnail/600x/17f82f742ffe127f42dca9de82fb58b1/c/m/cm_perugia.jpg,https://rosha.ir/media/catalog/product/cache/3/thumbnail/100x100/9df78eab33525d08d6e5fb8d27136e95/c/m/cm_perugia.jpg,[],[],[],[],[],13080000,13080000,بلند,[]
پبراهن مردانه کامیچی سیما مدل SIENA,https://rosha.ir/cm-siena-camicissima-mens-formal-shirt.html,https://rosha.ir/media/catalog/product/cache/3/thumbnail/600x/17f82f742ffe127f42dca9de82fb58b1/c/m/cm_siena.jpg,https://rosha.ir/media/catalog/product/cache/3/thumbnail/600x/17f82f742ffe127f42dca9de82fb58b1/c/m/cm_siena.jpg,https://rosha.ir/media/catalog/product/cache/3/thumbnail/100x100/9df78eab33525d08d6e5fb8d27136e95/c/m/cm_siena.jpg,[],[],[],[],[],13080000,13080000,بلند,[]
