Name,Main Web Page,Main Image,Second Image,Third Image,Fourth Image,Fifth Image,Sixth Image,Seventh Image,Eighth Image,Price,Discounted Price,Collar
MENS PRINTED T-SHIRT-BEVIL,https://www.salian.com/men/clothes/t-shirt/mens-printed-t-shirt-bevil.html,https://www.salian.com/media/catalog/product/cache/4/thumbnail/9df78eab33525d08d6e5fb8d27136e95/p/r/product_image_48374_1620725842.jpg?tp=706796290,[],[],[],[],[],[],[],1750000,1312500,[]
MENS CREW NECK T-SHIRT-BARTON,https://www.salian.com/men/clothes/t-shirt/mens-crew-neck-t-shirt-barton.html,https://www.salian.com/media/catalog/product/cache/4/thumbnail/9df78eab33525d08d6e5fb8d27136e95/p/r/product_image_48342_1621165195.jpg?tp=1215830746,[],[],[],[],[],[],[],1850000,1387500,[]
MENS PRINTED POLO SHIRT-JET,https://www.salian.com/men/clothes/t-shirt/mens-printed-polo-shirt-jet.html,https://www.salian.com/media/catalog/product/cache/4/thumbnail/9df78eab33525d08d6e5fb8d27136e95/p/r/product_image_48326_1620405156.jpg?tp=1123001038,[],[],[],[],[],[],[],2250000,1687500,[]
MENS LONG T-SHIRT-GROOVE,https://www.salian.com/men/clothes/t-shirt/mens-long-t-shirt-groove.html,https://www.salian.com/media/catalog/product/cache/4/thumbnail/9df78eab33525d08d6e5fb8d27136e95/p/r/product_image_48299_1620725789.jpg?tp=492692396,https://www.salian.com/media/catalog/product/cache/4/thumbnail/9df78eab33525d08d6e5fb8d27136e95/p/r/product_image_48299_1620725794.jpg?tp=679842508,[],[],[],[],[],[],1950000,1462500,[]
MENS PRINTED T-SHIRT-TRY,https://www.salian.com/men/clothes/t-shirt/mens-printed-t-shirt-try.html,https://www.salian.com/media/catalog/product/cache/4/thumbnail/9df78eab33525d08d6e5fb8d27136e95/p/r/product_image_48278_1620554169.jpg?tp=1333072575,https://www.salian.com/media/catalog/product/cache/4/thumbnail/9df78eab33525d08d6e5fb8d27136e95/p/r/product_image_48278_1620554169_1.jpg?tp=567929733,https://www.salian.com/media/catalog/product/cache/4/thumbnail/9df78eab33525d08d6e5fb8d27136e95/p/r/product_image_48278_1620554176.jpg?tp=68320566,https://www.salian.com/media/catalog/product/cache/4/thumbnail/9df78eab33525d08d6e5fb8d27136e95/p/r/product_image_48278_1620554176_1.jpg?tp=511228087,[],[],[],[],1950000,1462500,[]
MENS T-SHIRT-KERMANSHAH,https://www.salian.com/men/clothes/t-shirt/mens-t-shirt-kermanshah.html,https://www.salian.com/media/catalog/product/cache/4/thumbnail/9df78eab33525d08d6e5fb8d27136e95/p/r/product_image_48212_1619722252.jpg?tp=272682046,[],[],[],[],[],[],[],1780000,1335000,[]
MENS POLO SHIRT-SHARKS,https://www.salian.com/men/clothes/t-shirt/mens-polo-shirt-sharks.html,https://www.salian.com/media/catalog/product/cache/4/thumbnail/9df78eab33525d08d6e5fb8d27136e95/p/r/product_image_48189_1620725726.jpg?tp=1881257040,[],[],[],[],[],[],[],2180000,1635000,[]
MENS POLO SHIRT-KADMIL,https://www.salian.com/men/clothes/t-shirt/mens-polo-shirt-kadmil.html,https://www.salian.com/media/catalog/product/cache/4/thumbnail/9df78eab33525d08d6e5fb8d27136e95/p/r/product_image_48173_1621166545.jpg?tp=731590499,[],[],[],[],[],[],[],2150000,1612500,[]
MENS PIQUE T-SHIRT-KATROS,https://www.salian.com/men/clothes/t-shirt/mens-pique-t-shirt-katros.html,https://www.salian.com/media/catalog/product/cache/4/thumbnail/9df78eab33525d08d6e5fb8d27136e95/p/r/product_image_48157_1621483370.jpg?tp=100019143,https://www.salian.com/media/catalog/product/cache/4/thumbnail/9df78eab33525d08d6e5fb8d27136e95/p/r/product_image_48157_1621483374.jpg?tp=729074454,[],[],[],[],[],[],2050000,1537500,[]
MENS PIQUE POLO SHIRT-KAMON,https://www.salian.com/men/clothes/t-shirt/mens-pique-polo-shirt-kamon.html,https://www.salian.com/media/catalog/product/cache/4/thumbnail/9df78eab33525d08d6e5fb8d27136e95/p/r/product_image_48072_1620710542.jpg?tp=755614022,[],[],[],[],[],[],[],2250000,1125000,[]
