Name,Main Web Page,Main Image,Second Image,Third Image,Fourth Image,Fifth Image,Price,Discounted price
تی شرت Oversize طرح Sunburst Records,http://www.ustclothing.com/product/%d9%85%d8%ad%d8%b5%d9%88%d9%84%d8%a7%d8%aa/%d8%aa%db%8c-%d8%b4%d8%b1%d8%aa-oversize-%d8%b7%d8%b1%d8%ad-sunburst-records/,http://www.ustclothing.com/wp-content/uploads/2021/03/10.jpg,[],[],[],[],2250000,2250000
تی شرت Oversize طرح Sound of Silence,http://www.ustclothing.com/product/%d9%85%d8%ad%d8%b5%d9%88%d9%84%d8%a7%d8%aa/%d8%aa%db%8c-%d8%b4%d8%b1%d8%aa-oversize-%d8%b7%d8%b1%d8%ad-sound-of-silence/,http://www.ustclothing.com/wp-content/uploads/2021/03/9.jpg,[],[],[],[],2250000,2250000
تی شرت Oversize طرح Rick and Morty,http://www.ustclothing.com/product/%d9%85%d8%ad%d8%b5%d9%88%d9%84%d8%a7%d8%aa/%d8%aa%db%8c-%d8%b4%d8%b1%d8%aa-oversize-%d8%b7%d8%b1%d8%ad-rick-and-morty-3/,http://www.ustclothing.com/wp-content/uploads/2021/03/8.jpg,[],[],[],[],2250000,2250000
تی شرت Oversize طرح Heisenberg,http://www.ustclothing.com/product/%d9%85%d8%ad%d8%b5%d9%88%d9%84%d8%a7%d8%aa/%d8%aa%db%8c-%d8%b4%d8%b1%d8%aa-oversize-%d8%b7%d8%b1%d8%ad-heisenberg/,http://www.ustclothing.com/wp-content/uploads/2021/03/7.jpg,[],[],[],[],2250000,2250000
تی شرت Oversize طرح science is wise,http://www.ustclothing.com/product/%d9%85%d8%ad%d8%b5%d9%88%d9%84%d8%a7%d8%aa/%d8%aa%db%8c-%d8%b4%d8%b1%d8%aa-oversize-%d8%b7%d8%b1%d8%ad-science-is-wise/,http://www.ustclothing.com/wp-content/uploads/2021/03/6.jpg,[],[],[],[],2250000,2250000
تی شرت Oversize طرح Closed Eye,http://www.ustclothing.com/product/%d9%85%d8%ad%d8%b5%d9%88%d9%84%d8%a7%d8%aa/%d8%aa%db%8c-%d8%b4%d8%b1%d8%aa-oversize-%d8%b7%d8%b1%d8%ad-closed-eye/,http://www.ustclothing.com/wp-content/uploads/2021/03/5.jpg,[],[],[],[],2250000,2250000
تی شرت Oversize طرح I need a break,http://www.ustclothing.com/product/%d9%85%d8%ad%d8%b5%d9%88%d9%84%d8%a7%d8%aa/%d8%aa%db%8c-%d8%b4%d8%b1%d8%aa-oversize-%d8%b7%d8%b1%d8%ad-i-need-a-break/,http://www.ustclothing.com/wp-content/uploads/2021/03/4.jpg,[],[],[],[],2250000,2250000
تی شرت Oversize طرح Photographer,http://www.ustclothing.com/product/%d9%85%d8%ad%d8%b5%d9%88%d9%84%d8%a7%d8%aa/%d8%aa%db%8c-%d8%b4%d8%b1%d8%aa-oversize-%d8%b7%d8%b1%d8%ad-photographer-3/,http://www.ustclothing.com/wp-content/uploads/2021/03/3.jpg,[],[],[],[],2250000,2250000
تی شرت Oversize طرح engineer,http://www.ustclothing.com/product/%d9%85%d8%ad%d8%b5%d9%88%d9%84%d8%a7%d8%aa/%d8%aa%db%8c-%d8%b4%d8%b1%d8%aa-oversize-%d8%b7%d8%b1%d8%ad-engineer-2/,http://www.ustclothing.com/wp-content/uploads/2021/03/2.jpg,[],[],[],[],2250000,2250000
تی شرت Oversize طرح Energy Loading,http://www.ustclothing.com/product/%d9%85%d8%ad%d8%b5%d9%88%d9%84%d8%a7%d8%aa/%d8%aa%db%8c-%d8%b4%d8%b1%d8%aa-oversize-%d8%b7%d8%b1%d8%ad-energy-loading/,http://www.ustclothing.com/wp-content/uploads/2021/03/1.jpg,[],[],[],[],2250000,2250000
