Name,Main Web Page,Main Image,Second Image,Third Image,Fourth Image,Fifth Image,Sixth Image,Seventh Image,Eighth Image,Ninth Image,Tenth Image,Price,Value of Discount,Sleeve
پیراهن ماوی,https://www.iranmavi.com/men/shirts/021648-32184.html,https://www.iranmavi.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/c/3/c3a4e069e337c3f6e3765bdad7722816038b4d14.jpg,https://www.iranmavi.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/a/f/af940851539f198ae3c312de22447bb6fd28f43a.jpg,https://www.iranmavi.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/c/3/c3a4e069e337c3f6e3765bdad7722816038b4d14.jpg,https://www.iranmavi.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/5/3/53fcda6646e21124249bf119a16ee789777e7f6e.jpg,https://www.iranmavi.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/a/9/a937e4e4da695aec51e381be863e60396c4fbeef.jpg,https://www.iranmavi.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/d/5/d5b2c7a15f933a3534681de1a93bc5cb145e7203.jpg,https://www.iranmavi.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/c/e/ce4d217b9131d6975b0c14cb1fb53253c38e2672.jpg,[],[],[],10660000  ,7330000  ,بلند
پیراهن ماوی,https://www.iranmavi.com/men/shirts/021671-18790.html,https://www.iranmavi.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/2/3/23346e338edc088b881b30ddbd9d9804c65aede4.jpg,https://www.iranmavi.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/2/3/23346e338edc088b881b30ddbd9d9804c65aede4.jpg,https://www.iranmavi.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/a/8/a81ded90d6b1277a316d7c3a10a4675784f294ca.jpg,https://www.iranmavi.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/6/8/689c1b3cef34ad612459b5e11c2fe61f44b6c0fe.jpg,https://www.iranmavi.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/3/6/361dc16e1cf40429a59e00f6ddb4b6d5e34ab74e.jpg,https://www.iranmavi.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/7/8/78d180d5a9dc4666f37d2532d224ccc5b327be91.jpg,https://www.iranmavi.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/7/2/72bf6321bbdaaac422cc5a999c60fc7a49e45fb2.jpg,[],[],[],11650000  ,6590000  ,بلند
پیراهن جیب دار ماوی,https://www.iranmavi.com/men/shirts/021672-620.html,https://www.iranmavi.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/9/8/980fe280fb01d49b3353eb7a7646f26ad9a7f7e2.jpg,https://www.iranmavi.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/f/c/fcf69fa9b6b7493540b7b5be0ef305afacbf0cc6.jpg,https://www.iranmavi.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/4/1/41659a2314a47204dcd2b26393830b067cf4f391.jpg,https://www.iranmavi.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/9/8/980fe280fb01d49b3353eb7a7646f26ad9a7f7e2.jpg,https://www.iranmavi.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/0/4/044483db6e7f2961ebcac54c226d54ffed1e67fd.jpg,https://www.iranmavi.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/0/4/0469dce25426fa361862114d22d7777f928ead47.jpg,https://www.iranmavi.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/4/4/442636c021bb9720b227579886ea40dc4aa5fe96.jpg,[],[],[],11010000  ,6590000  ,بلند
پیراهن شطرنجی ماوی,https://www.iranmavi.com/men/shirts/021675-32343.html,https://www.iranmavi.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/a/3/a33371bfb4b2a2f0e22f8daae9654f17fd75485c.jpg,https://www.iranmavi.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/a/3/a33371bfb4b2a2f0e22f8daae9654f17fd75485c.jpg,https://www.iranmavi.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/9/3/938c43151856b03f405cc4c7955239dd926357fb.jpg,https://www.iranmavi.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/2/f/2f7ab088d86e2b294858e613884856fafca95eb9.jpg,https://www.iranmavi.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/e/a/ea9d5ee7732c2487754688f0e76d8856fae02c57.jpg,https://www.iranmavi.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/b/a/bab29a21a0c0539c591a462a3b894fda94428c9d.jpg,https://www.iranmavi.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/b/3/b3b0be840e29cbe268bbdabbcaaaa2ee649d02e0.jpg,[],[],[],10660000  ,7330000  ,بلند
پیراهن ماوی,https://www.iranmavi.com/men/shirts/021817-32215.html,https://www.iranmavi.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/f/e/fea8f66f2c5c99bb7b12b0fba1ec73644d051f8f.jpg,https://www.iranmavi.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/f/e/fea8f66f2c5c99bb7b12b0fba1ec73644d051f8f.jpg,https://www.iranmavi.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/6/5/65d1742e5dbab9b948c9a6d70cc161210b7ed4c6.jpg,https://www.iranmavi.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/4/0/407fe2293292207235423e97ed7304c6624c90c8.jpg,https://www.iranmavi.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/f/1/f1656b9716de68fefa97225148810463278d60d0.jpg,https://www.iranmavi.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/7/a/7a81a02107e00ba16e929271ed0c1b9c3af95810.jpg,https://www.iranmavi.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/b/5/b5316e75a9343da7b8fc9c9670ceb794fb7cca7c.jpg,[],[],[],9520000  ,7330000  ,بلند
پیراهن ماوی,https://www.iranmavi.com/men/shirts/020860-33010.html,https://www.iranmavi.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/8/c/8ce898d3ee938da1b0bddafe75fb0f7411b3180c.jpg,https://www.iranmavi.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/8/c/8ce898d3ee938da1b0bddafe75fb0f7411b3180c.jpg,https://www.iranmavi.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/f/7/f7e01ff7b4da89fafc1fd70110fc244a122ea735.jpg,https://www.iranmavi.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/7/7/77da43d35d9de76eb2ef9747a8179a88c0b2ebfe.jpg,https://www.iranmavi.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/6/0/60fb248c3ee4ed7904d90b0762c05a7756592812.jpg,https://www.iranmavi.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/9/e/9ec3630e688c83afa60451aaa7207c2ba7e326bc.jpg,https://www.iranmavi.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/0/c/0cb08337ca4c725c4b67478a215ce314a1293e58.jpg,[],[],[],10660000  ,6590000  ,بلند
پیراهن خط دار ماوی,https://www.iranmavi.com/men/shirts/021439-18790.html,https://www.iranmavi.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/d/7/d7974031802bbd6712076805f95a25bdd48fafb0.jpg,https://www.iranmavi.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/d/7/d7974031802bbd6712076805f95a25bdd48fafb0.jpg,https://www.iranmavi.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/2/7/27c1b3e1500389b9b745c64a0f80c867874ef490.jpg,https://www.iranmavi.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/d/6/d6761d292fd53adef5d7cc7d19e6894092522e5d.jpg,https://www.iranmavi.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/3/8/3812f51ace67fa8d975ee2060142df3ffd39f4bb.jpg,https://www.iranmavi.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/f/a/fafe1248d0c5043bbd56417d09846bfede4aaaf3.jpg,[],[],[],[],11650000  ,5860000  ,بلند
پیراهن ماوی,https://www.iranmavi.com/men/shirts/021440-620.html,https://www.iranmavi.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/c/2/c26f6af4673aff6af33905cdc8e37abd3c091839.jpg,https://www.iranmavi.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/d/c/dc84b9bd45685f957c46bd3d6da392df06848ce1.jpg,https://www.iranmavi.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/a/6/a671e6b2f2ce20aa078db5b50acf1f99b1d021cc.jpg,https://www.iranmavi.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/a/7/a765794bbec7c799a083137af8ad9ce36617d21f.jpg,https://www.iranmavi.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/c/2/c26f6af4673aff6af33905cdc8e37abd3c091839.jpg,https://www.iranmavi.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/3/9/3973a486db0be8664737baa4d42075a186a634a4.jpg,[],[],[],[],10660000  ,5860000  ,بلند
پیراهن ماوی,https://www.iranmavi.com/men/shirts/021429-18790.html,https://www.iranmavi.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/0/7/074c857f3a2c9e88c0af9a5e64b6cd23c8a78079.jpg,https://www.iranmavi.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/6/e/6e5c82acc1cd78a8ed8c18e8b54982827f1272b0.jpg,https://www.iranmavi.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/4/e/4ebdb8104f62307ffaa2770f94954eb3e3328bf1.jpg,https://www.iranmavi.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/0/7/074c857f3a2c9e88c0af9a5e64b6cd23c8a78079.jpg,https://www.iranmavi.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/c/a/cac0d52115bf1f0edb1dae4aef2c9caa3079122d.jpg,https://www.iranmavi.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/e/4/e471a1d6cf09c56e91fdd42a9b10a7e7305b1594.jpg,https://www.iranmavi.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/c/5/c5265ffc73ebd664271369b55cae1cdbc6baa566.jpg,[],[],[],11650000  ,6590000  ,بلند
پیراهن خط دار ماوی,https://www.iranmavi.com/men/shirts/021562-30751.html,https://www.iranmavi.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/9/4/9446ff431937d524835c389d1e4299398e33b5fe.jpg,https://www.iranmavi.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/3/6/36dc5e8c036cd669900a662cc0ee80ccce06b43b.jpg,https://www.iranmavi.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/9/4/9446ff431937d524835c389d1e4299398e33b5fe.jpg,https://www.iranmavi.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/e/8/e889a1ba2233122e6cd3beb84dc42c31ebad5cfa.jpg,https://www.iranmavi.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/8/1/81158d429510d14e0dd0af7e611c37f051e2a710.jpg,https://www.iranmavi.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/d/0/d0f989bf63da21477b8a7918ba49373667797bca.jpg,https://www.iranmavi.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/3/e/3ef343bb0dc8b15f996c9e869eaaba9d944f747c.jpg,[],[],[],10660000  ,7330000  ,بلند
پیراهن جین ماوی,https://www.iranmavi.com/men/shirts/021431-900.html,https://www.iranmavi.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/2/1/21cd4c856fd35227637762ae9460d8d1d86c028c.jpg,https://www.iranmavi.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/a/f/af8e22958c8e1ca270722d222236e5ddcb94330f.jpg,https://www.iranmavi.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/2/1/21cd4c856fd35227637762ae9460d8d1d86c028c.jpg,https://www.iranmavi.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/9/b/9b9f10617677431a9e9399e233c2cd764b10c30c.jpg,https://www.iranmavi.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/2/d/2dd9f61856ee0b7fdc4ebb8075e5dee57b0e731e.jpg,https://www.iranmavi.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/e/2/e28f054d138d50d8fdaf9c90f047ed8e3316f775.jpg,https://www.iranmavi.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/2/b/2ba16a2135e33b3c1e58706bb578a08cbba04878.jpg,[],[],[],11650000  ,6590000  ,بلند
